airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,10:05:00,1055,1,No Info,14781
Air India,2019-03-24,Kolkata,Banglore,20:30:00,08:55:00,745,1,No Info,12173
Multiple Carriers,2019-06-15,Delhi,Cochin,13:15:00,22:30:00,555,1,No Info,8018
Jet Airways,2019-06-24,Delhi,Cochin,02:15:00,12:35:00,620,1,No Info,18371
Multiple Carriers,2019-03-09,Delhi,Cochin,04:45:00,19:45:00,900,1,No Info,10782
Jet Airways,2019-03-06,Delhi,Cochin,23:05:00,19:45:00,1240,1,No Info,17024
Air India,2019-05-01,Kolkata,Banglore,19:00:00,04:40:00,580,1,No Info,6117
Air India,2019-05-15,Delhi,Cochin,12:00:00,07:40:00,1180,2,No Info,10651
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,04:40:00,585,1,In-flight meal not included,7757
Multiple Carriers,2019-03-27,Delhi,Cochin,14:35:00,22:20:00,465,1,In-flight meal not included,5883
Jet Airways,2019-03-01,Banglore,New Delhi,08:55:00,00:45:00,950,1,No Info,26890
Air India,2019-04-09,Delhi,Cochin,20:15:00,19:15:00,1380,2,No Info,9916
Jet Airways,2019-06-09,Kolkata,Banglore,18:55:00,20:45:00,1550,1,In-flight meal not included,10844
Spicejet,2019-05-15,Chennai,Kolkata,08:20:00,10:35:00,135,0,No Info,3597
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,07:25:00,1495,2,In-flight meal not included,10118
Air India,2019-05-27,Delhi,Cochin,17:20:00,09:25:00,965,1,No Info,7480
Indigo,2019-05-21,Mumbai,Hyderabad,02:35:00,04:05:00,90,0,No Info,2754
Spicejet,2019-04-24,Kolkata,Banglore,22:20:00,00:40:00,140,0,No check-in baggage included,3841
Air India,2019-03-03,Banglore,New Delhi,12:00:00,23:55:00,715,3,No Info,10573
Indigo,2019-03-21,Mumbai,Hyderabad,19:05:00,20:30:00,85,0,No Info,2754
Indigo,2019-03-27,Delhi,Cochin,06:40:00,16:10:00,570,1,No Info,6442
Vistara,2019-06-03,Banglore,Delhi,19:30:00,22:15:00,165,0,No Info,4878
Air India,2019-04-01,Kolkata,Banglore,09:50:00,23:15:00,805,2,No Info,12125
Indigo,2019-05-06,Banglore,Delhi,01:30:00,04:15:00,165,0,No Info,4284
Multiple Carriers,2019-03-21,Delhi,Cochin,12:50:00,01:35:00,765,1,No Info,7695
Indigo,2019-05-18,Kolkata,Banglore,21:25:00,00:05:00,160,0,No Info,4804
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,09:45:00,800,1,No Info,14151
Air India,2019-06-12,Delhi,Cochin,21:00:00,07:40:00,640,1,No Info,8372
Air India,2019-06-27,Delhi,Cochin,17:20:00,09:25:00,965,1,No Info,7480
Jet Airways,2019-04-06,Delhi,Cochin,11:30:00,19:00:00,450,1,In-flight meal not included,5177
Indigo,2019-06-09,Banglore,Delhi,01:30:00,04:15:00,165,0,No Info,4077
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,09:45:00,1005,1,No Info,14151
Air India,2019-03-06,Delhi,Cochin,09:00:00,19:15:00,615,1,No Info,15284
Multiple Carriers,2019-03-09,Delhi,Cochin,08:00:00,21:00:00,780,1,No Info,16023
Multiple Carriers,2019-06-12,Delhi,Cochin,07:05:00,22:30:00,925,1,No Info,9646
Multiple Carriers,2019-05-09,Delhi,Cochin,15:00:00,01:30:00,630,1,No Info,15078
Indigo,2019-03-18,Chennai,Kolkata,19:35:00,21:55:00,140,0,No Info,4332
Jet Airways,2019-04-09,Delhi,Cochin,05:30:00,19:00:00,810,2,No Info,11664
Jet Airways,2019-06-24,Delhi,Cochin,16:00:00,12:35:00,1235,1,In-flight meal not included,10262
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,10:45:00,950,1,No Info,13817
Jet Airways,2019-05-21,Delhi,Cochin,15:00:00,04:25:00,805,1,In-flight meal not included,12898
Indigo,2019-03-27,Chennai,Kolkata,11:35:00,14:00:00,145,0,No Info,3858
Jet Airways,2019-05-09,Delhi,Cochin,17:30:00,19:00:00,1530,1,In-flight meal not included,12373
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,19:10:00,575,1,No Info,12692
Jet Airways,2019-06-06,Delhi,Cochin,18:25:00,04:25:00,600,2,No Info,14237
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,7198
Air India,2019-03-01,Banglore,New Delhi,11:50:00,13:00:00,1510,1,1 Long layover,15434
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,23:35:00,1630,1,No Info,14151
Indigo,2019-06-15,Banglore,Delhi,07:10:00,10:05:00,175,0,No Info,4823
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,18:15:00,705,1,In-flight meal not included,9899
Multiple Carriers,2019-05-21,Delhi,Cochin,10:00:00,19:15:00,555,1,No Info,14848
Multiple Carriers,2019-05-18,Delhi,Cochin,09:45:00,16:10:00,385,1,No Info,9646
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,19:10:00,1570,1,No Info,14151
Indigo,2019-06-03,Delhi,Cochin,16:00:00,01:30:00,570,1,No Info,6628
Jet Airways,2019-05-09,Banglore,Delhi,18:55:00,22:00:00,185,0,No Info,7229
Jet Airways,2019-06-15,Delhi,Cochin,13:00:00,19:00:00,360,1,No Info,14714
Indigo,2019-04-01,Mumbai,Hyderabad,09:10:00,10:40:00,90,0,No Info,3342
Spicejet,2019-06-03,Banglore,Delhi,09:30:00,12:20:00,170,0,No Info,3971
Jet Airways,2019-05-21,Delhi,Cochin,21:50:00,19:00:00,1270,1,No Info,16079
Multiple Carriers,2019-05-21,Delhi,Cochin,04:55:00,12:35:00,460,1,No Info,9103
Indigo,2019-06-27,Mumbai,Hyderabad,06:25:00,07:55:00,90,0,No Info,4049
Vistara,2019-05-21,Kolkata,Banglore,07:10:00,09:05:00,1555,1,No Info,8452
Air India,2019-05-09,Delhi,Cochin,09:00:00,19:15:00,615,1,No Info,8372
Air India,2019-04-01,Kolkata,Banglore,09:10:00,13:15:00,245,1,No Info,5793
Air India,2019-05-09,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,No Info,3100
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,19:15:00,555,1,No Info,14323
Indigo,2019-06-06,Delhi,Cochin,07:30:00,21:00:00,810,1,No Info,6093
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,18:50:00,700,1,No Info,9345
Spicejet,2019-06-01,Kolkata,Banglore,17:10:00,19:40:00,150,0,No Info,4174
Jet Airways,2019-06-09,Delhi,Cochin,11:30:00,12:35:00,1505,1,In-flight meal not included,10262
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,14:25:00,1285,1,In-flight meal not included,9314
Air India,2019-03-09,Banglore,New Delhi,11:50:00,23:55:00,725,1,No Info,10972
Air Asia,2019-05-18,Banglore,Delhi,04:55:00,07:45:00,170,0,No Info,4282
Goair,2019-06-09,Delhi,Cochin,05:55:00,13:35:00,460,1,No Info,5199
Jet Airways,2019-06-27,Delhi,Cochin,11:40:00,19:00:00,440,2,No Info,18804
Jet Airways,2019-06-06,Delhi,Cochin,15:00:00,19:00:00,1680,1,In-flight meal not included,10262
Indigo,2019-03-09,Kolkata,Banglore,15:20:00,17:55:00,155,0,No Info,4148
Indigo,2019-06-27,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,3943
Multiple Carriers,2019-03-21,Delhi,Cochin,02:15:00,13:20:00,665,1,No Info,13961
Jet Airways,2019-05-18,Delhi,Cochin,23:05:00,04:25:00,1760,2,No Info,15129
Vistara,2019-05-21,Kolkata,Banglore,17:00:00,18:50:00,1550,1,No Info,9345
Air India,2019-03-15,Banglore,New Delhi,11:50:00,13:00:00,1510,1,No Info,8032
Indigo,2019-03-15,Mumbai,Hyderabad,09:10:00,10:40:00,90,0,No Info,4049
Indigo,2019-05-21,Kolkata,Banglore,21:25:00,00:05:00,160,0,No Info,4804
Spicejet,2019-04-03,Delhi,Cochin,08:45:00,13:15:00,270,1,No check-in baggage included,4098
Jet Airways,2019-06-06,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,No Info,5678
Jet Airways,2019-06-03,Delhi,Cochin,13:00:00,19:00:00,360,1,In-flight meal not included,10262
Multiple Carriers,2019-03-06,Delhi,Cochin,10:45:00,19:15:00,510,1,No Info,15077
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,16:10:00,435,1,No Info,19225
Air India,2019-03-06,Delhi,Cochin,13:30:00,08:15:00,1125,1,No Info,11563
Air India,2019-05-27,Delhi,Cochin,07:10:00,07:40:00,1470,2,No Info,14588
Vistara,2019-03-06,Delhi,Cochin,06:00:00,09:10:00,190,0,No Info,12411
Indigo,2019-03-06,Kolkata,Banglore,14:20:00,16:55:00,155,0,No Info,5618
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,09:20:00,730,1,In-flight meal not included,9663
Vistara,2019-03-09,Banglore,New Delhi,07:00:00,09:40:00,160,0,No Info,7398
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,09:20:00,865,1,No Info,14388
Indigo,2019-03-24,Chennai,Kolkata,07:55:00,10:15:00,140,0,No Info,4326
Jet Airways,2019-06-09,Delhi,Cochin,11:45:00,04:25:00,1000,2,No Info,13882
Multiple Carriers,2019-05-21,Delhi,Cochin,16:00:00,01:30:00,570,1,No Info,14067
Indigo,2019-05-09,Kolkata,Banglore,20:20:00,22:55:00,155,0,No Info,4804
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,19:10:00,1570,1,No Info,14151
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,11:25:00,1425,1,No Info,25735
Spicejet,2019-06-03,Chennai,Kolkata,09:45:00,12:00:00,135,0,No check-in baggage included,3859
Indigo,2019-03-03,Banglore,New Delhi,10:05:00,13:00:00,175,0,No Info,7648
Air India,2019-05-06,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,5228
Spicejet,2019-06-01,Banglore,Delhi,21:10:00,00:05:00,175,0,No check-in baggage included,3573
Jet Airways,2019-06-24,Delhi,Cochin,16:00:00,04:25:00,745,1,In-flight meal not included,10262
Indigo,2019-05-18,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,4591
Multiple Carriers,2019-03-21,Delhi,Cochin,07:10:00,21:20:00,850,2,In-flight meal not included,5935
Air Asia,2019-04-09,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,4107
Indigo,2019-03-09,Chennai,Kolkata,11:35:00,14:00:00,145,0,No Info,6297
Indigo,2019-03-09,Banglore,New Delhi,16:55:00,21:50:00,295,1,No Info,4259
Jet Airways,2019-06-03,Delhi,Cochin,11:30:00,12:35:00,1505,1,In-flight meal not included,10262
Jet Airways,2019-06-06,Kolkata,Banglore,14:05:00,22:35:00,510,1,No Info,14571
Jet Airways,2019-05-01,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,7229
Air India,2019-06-27,Delhi,Cochin,13:15:00,07:40:00,1105,2,No Info,13547
Indigo,2019-05-12,Chennai,Kolkata,14:45:00,17:05:00,140,0,No Info,3858
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,19:50:00,685,1,No Info,14571
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,04:40:00,520,1,No Info,13941
Indigo,2019-05-06,Delhi,Cochin,14:20:00,22:30:00,490,1,No Info,7054
Multiple Carriers,2019-03-03,Delhi,Cochin,10:00:00,01:35:00,935,1,No Info,16863
Indigo,2019-06-27,Chennai,Kolkata,11:35:00,14:00:00,145,0,No Info,3858
Air India,2019-03-03,Banglore,New Delhi,10:30:00,21:25:00,655,2,No Info,11003
Indigo,2019-05-12,Banglore,Delhi,16:55:00,19:55:00,180,0,No Info,4823
Jet Airways,2019-06-06,Delhi,Cochin,14:00:00,04:25:00,865,1,No Info,14714
Indigo,2019-03-09,Delhi,Cochin,06:40:00,12:00:00,320,1,No Info,5647
Jet Airways,2019-03-24,Mumbai,Hyderabad,02:55:00,04:25:00,90,0,No Info,5678
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,12:35:00,1010,1,No Info,14714
Indigo,2019-05-12,Kolkata,Banglore,15:15:00,20:05:00,290,1,No Info,5170
Spicejet,2019-05-12,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,No check-in baggage included,1965
Indigo,2019-03-06,Delhi,Cochin,07:30:00,13:20:00,350,1,No Info,13628
Indigo,2019-04-12,Banglore,Delhi,16:55:00,19:55:00,180,0,No Info,4990
Indigo,2019-03-21,Mumbai,Hyderabad,16:55:00,18:25:00,90,0,No Info,3175
Jet Airways,2019-03-03,Delhi,Cochin,05:25:00,04:25:00,1380,2,No Info,18799
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,23:35:00,1655,1,In-flight meal not included,10844
Jet Airways,2019-06-06,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,In-flight meal not included,4995
Jet Airways,2019-03-09,Delhi,Cochin,00:20:00,04:25:00,1685,1,No Info,15029
Indigo,2019-05-01,Mumbai,Hyderabad,20:05:00,21:40:00,95,0,No Info,2227
Indigo,2019-04-01,Kolkata,Banglore,15:10:00,20:30:00,320,1,No Info,8567
Goair,2019-04-15,Delhi,Cochin,07:25:00,13:35:00,370,1,No Info,5052
Multiple Carriers,2019-05-21,Delhi,Cochin,17:15:00,00:55:00,460,1,No Info,7858
Jet Airways,2019-06-27,Delhi,Cochin,11:30:00,12:35:00,1505,1,In-flight meal not included,10262
Indigo,2019-06-03,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Vistara,2019-05-03,Banglore,Delhi,11:30:00,14:20:00,170,0,No Info,4668
Jet Airways,2019-05-09,Delhi,Cochin,07:05:00,19:00:00,715,1,No Info,15554
Jet Airways,2019-05-18,Delhi,Cochin,17:30:00,12:35:00,1145,1,In-flight meal not included,12373
Multiple Carriers,2019-06-12,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,7198
Jet Airways,2019-06-24,Delhi,Cochin,15:00:00,04:25:00,805,1,In-flight meal not included,10262
Multiple Carriers,2019-05-21,Delhi,Cochin,10:00:00,21:00:00,660,1,No Info,7888
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,19:00:00,560,2,No Info,13014
Air India,2019-06-09,Kolkata,Banglore,09:50:00,21:05:00,675,1,No Info,7662
Jet Airways,2019-05-21,Kolkata,Banglore,21:10:00,18:15:00,1265,1,In-flight meal not included,10844
Multiple Carriers,2019-05-27,Delhi,Cochin,11:40:00,19:15:00,455,1,No Info,9316
Indigo,2019-06-24,Mumbai,Hyderabad,20:05:00,21:40:00,95,0,No Info,2227
Indigo,2019-05-18,Chennai,Kolkata,07:55:00,10:15:00,140,0,No Info,3850
Vistara,2019-05-21,Banglore,Delhi,17:00:00,19:35:00,155,0,No Info,4878
Air India,2019-03-15,Banglore,New Delhi,05:50:00,12:55:00,425,1,No Info,9029
Air India,2019-03-12,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No Info,4307
Jet Airways,2019-06-06,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,In-flight meal not included,4050
Jet Airways,2019-05-21,Kolkata,Banglore,08:25:00,19:50:00,685,1,No Info,14781
Jet Airways,2019-03-21,Banglore,New Delhi,20:35:00,07:40:00,665,1,In-flight meal not included,7832
Multiple Carriers,2019-05-27,Delhi,Cochin,08:00:00,19:15:00,675,1,In-flight meal not included,11761
Air India,2019-06-12,Kolkata,Banglore,09:25:00,18:30:00,545,1,No Info,8366
Air India,2019-03-03,Banglore,New Delhi,06:45:00,11:10:00,1705,2,No Info,12599
Indigo,2019-04-15,Kolkata,Banglore,15:30:00,18:05:00,155,0,No Info,4174
Air India,2019-03-24,Kolkata,Banglore,09:50:00,21:05:00,675,1,No Info,7795
Jet Airways,2019-05-09,Delhi,Cochin,11:30:00,04:25:00,1015,1,In-flight meal not included,12373
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,04:40:00,1215,1,In-flight meal not included,8586
Multiple Carriers,2019-05-24,Delhi,Cochin,09:00:00,19:00:00,600,1,No Info,10197
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,22:35:00,365,1,In-flight meal not included,10844
Jet Airways,2019-03-09,Mumbai,Hyderabad,06:30:00,08:00:00,90,0,No Info,8040
Jet Airways,2019-05-09,Delhi,Cochin,19:30:00,12:35:00,1025,2,In-flight meal not included,13029
Spicejet,2019-06-06,Kolkata,Banglore,22:20:00,00:40:00,140,0,No check-in baggage included,3841
Air India,2019-03-01,Banglore,New Delhi,10:30:00,22:55:00,745,1,No Info,11003
Jet Airways,2019-06-03,Delhi,Cochin,10:00:00,19:00:00,540,1,In-flight meal not included,10262
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,22:05:00,750,1,No Info,12121
Jet Airways,2019-06-27,Delhi,Cochin,19:30:00,12:35:00,1025,2,No Info,13764
Jet Airways,2019-05-15,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,In-flight meal not included,2228
Indigo,2019-05-27,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Indigo,2019-05-06,Chennai,Kolkata,05:15:00,07:40:00,145,0,No Info,3540
Spicejet,2019-04-15,Banglore,Delhi,09:30:00,12:20:00,170,0,No check-in baggage included,4319
Jet Airways,2019-03-15,Mumbai,Hyderabad,15:50:00,17:20:00,90,0,No Info,5678
Indigo,2019-04-27,Delhi,Cochin,05:35:00,08:50:00,195,0,No Info,6015
Spicejet,2019-06-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No Info,2017
Indigo,2019-03-01,Mumbai,Hyderabad,16:55:00,18:25:00,90,0,No Info,8853
Spicejet,2019-05-15,Kolkata,Banglore,06:55:00,09:30:00,155,0,No Info,3873
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,04:40:00,875,1,In-flight meal not included,9663
Air India,2019-05-01,Kolkata,Banglore,17:30:00,13:45:00,1215,2,No Info,15164
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,08:15:00,800,1,In-flight meal not included,8586
Jet Airways,2019-03-03,Delhi,Cochin,09:00:00,18:50:00,590,1,No Info,17024
Indigo,2019-03-06,Chennai,Kolkata,13:20:00,15:35:00,135,0,No Info,7295
Goair,2019-05-18,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,4632
Air India,2019-03-01,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,No Info,15385
Spicejet,2019-06-06,Kolkata,Banglore,09:00:00,11:25:00,145,0,No check-in baggage included,3841
Indigo,2019-06-03,Delhi,Cochin,11:25:00,21:00:00,575,1,No Info,6093
Vistara,2019-05-12,Kolkata,Banglore,17:00:00,10:45:00,1065,1,No Info,9922
Multiple Carriers,2019-03-09,Delhi,Cochin,08:40:00,21:00:00,740,1,No Info,18228
Indigo,2019-06-03,Delhi,Cochin,06:50:00,22:30:00,940,1,No Info,7514
Indigo,2019-03-01,Kolkata,Banglore,20:25:00,23:05:00,160,0,No Info,4778
