airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-09,Delhi,Cochin,19:15:00,19:00:00,1425,1,In-flight meal not included,10577
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,14:25:00,1285,1,In-flight meal not included,9314
Air India,2019-03-18,Banglore,New Delhi,08:50:00,23:25:00,2315,2,No Info,10783
Multiple Carriers,2019-05-09,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,13727
Indigo,2019-05-01,Kolkata,Banglore,06:20:00,10:20:00,240,1,No Info,4226
Multiple Carriers,2019-06-06,Delhi,Cochin,07:00:00,19:00:00,720,1,No Info,12192
Indigo,2019-06-15,Delhi,Cochin,10:35:00,01:30:00,895,1,No Info,5883
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,05:05:00,900,1,In-flight meal not included,13502
Goair,2019-05-21,Delhi,Cochin,07:00:00,12:55:00,355,1,No Info,6633
Indigo,2019-04-15,Banglore,Delhi,10:10:00,13:00:00,170,0,No Info,4423
Jet Airways,2019-03-27,Delhi,Cochin,19:45:00,04:25:00,520,1,No Info,12242
Jet Airways,2019-03-27,Mumbai,Hyderabad,15:50:00,17:20:00,90,0,No Info,5678
Indigo,2019-05-12,Banglore,Delhi,06:05:00,08:50:00,165,0,No Info,4423
Jet Airways,2019-03-12,Banglore,New Delhi,20:35:00,21:20:00,1485,1,In-flight meal not included,11087
Indigo,2019-03-27,Kolkata,Banglore,15:10:00,17:45:00,155,0,No Info,4148
Multiple Carriers,2019-05-27,Delhi,Cochin,07:10:00,16:10:00,540,1,No Info,7878
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,19:15:00,795,1,No Info,8371
Indigo,2019-06-15,Delhi,Cochin,06:40:00,21:00:00,860,1,No Info,6093
Air Asia,2019-03-09,Delhi,Cochin,20:10:00,07:10:00,660,1,No Info,8327
Vistara,2019-04-09,Banglore,Delhi,07:00:00,09:40:00,160,0,No Info,5403
Jet Airways,2019-06-09,Delhi,Cochin,17:30:00,04:25:00,655,1,In-flight meal not included,10262
Jet Airways,2019-04-21,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,7229
Indigo,2019-03-03,Mumbai,Hyderabad,02:30:00,04:00:00,90,0,No Info,4575
Spicejet,2019-06-03,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,No Info,2017
Vistara,2019-06-06,Delhi,Cochin,06:00:00,09:10:00,190,0,No Info,6216
Air Asia,2019-04-12,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,4409
Indigo,2019-03-09,Banglore,New Delhi,01:30:00,04:15:00,165,0,No Info,6860
Air India,2019-05-21,Delhi,Cochin,20:40:00,09:25:00,765,1,No Info,7480
Jet Airways,2019-06-15,Delhi,Cochin,02:15:00,12:35:00,620,1,In-flight meal not included,10262
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,04:25:00,1125,2,In-flight meal not included,10368
Jet Airways,2019-04-01,Kolkata,Banglore,20:00:00,16:20:00,1220,1,No Info,12681
Jet Airways,2019-03-18,Banglore,New Delhi,05:45:00,13:15:00,450,1,No Info,12284
Spicejet,2019-05-18,Delhi,Cochin,06:05:00,11:20:00,315,1,No Info,6297
Air Asia,2019-06-27,Banglore,Delhi,23:55:00,02:45:00,170,0,No Info,3383
Indigo,2019-05-15,Mumbai,Hyderabad,21:20:00,22:50:00,90,0,No Info,2227
Spicejet,2019-03-09,Delhi,Cochin,16:35:00,22:50:00,375,1,No Info,7084
Air India,2019-06-01,Delhi,Cochin,05:15:00,06:50:00,1535,1,No Info,7480
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,20:45:00,740,1,No Info,14571
Air India,2019-03-06,Delhi,Cochin,14:10:00,17:10:00,180,0,No Info,7931
Air India,2019-05-18,Kolkata,Banglore,14:15:00,16:45:00,150,0,No Info,6245
Goair,2019-03-24,Kolkata,Banglore,16:25:00,00:05:00,460,1,No Info,10198
Goair,2019-04-21,Delhi,Cochin,07:00:00,12:55:00,355,1,No Info,6591
Multiple Carriers,2019-05-27,Delhi,Cochin,07:30:00,19:15:00,705,1,No Info,8837
Jet Airways,2019-04-06,Banglore,Delhi,07:10:00,10:10:00,180,0,In-flight meal not included,4544
Indigo,2019-06-15,Kolkata,Banglore,14:25:00,16:55:00,150,0,No Info,4804
Air India,2019-04-09,Delhi,Cochin,08:00:00,19:15:00,675,1,No Info,6377
Jet Airways,2019-04-12,Banglore,Delhi,18:55:00,22:00:00,185,0,No Info,7229
Spicejet,2019-05-09,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No check-in baggage included,1965
Jet Airways,2019-06-15,Delhi,Cochin,19:15:00,19:00:00,1425,1,In-flight meal not included,10262
Multiple Carriers,2019-06-27,Delhi,Cochin,07:00:00,19:00:00,720,1,No Info,12192
Jet Airways,2019-05-01,Kolkata,Banglore,20:25:00,10:55:00,870,1,No Info,12121
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,16:20:00,1150,1,In-flight meal not included,10844
Multiple Carriers,2019-06-15,Delhi,Cochin,07:05:00,21:00:00,835,1,No Info,13587
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,12:35:00,1390,2,No Info,15129
Indigo,2019-05-21,Delhi,Cochin,21:50:00,03:35:00,345,1,No Info,7189
Jet Airways,2019-03-27,Delhi,Cochin,17:35:00,04:25:00,650,2,In-flight meal not included,9412
Air India,2019-06-09,Kolkata,Banglore,16:50:00,13:45:00,1255,2,No Info,11752
Indigo,2019-04-06,Kolkata,Banglore,09:35:00,12:20:00,165,0,No Info,4174
Multiple Carriers,2019-03-21,Delhi,Cochin,08:55:00,19:15:00,620,1,No Info,10161
Air India,2019-05-15,Delhi,Cochin,20:30:00,23:00:00,1590,1,No Info,8907
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,22:05:00,1540,1,No Info,13067
Indigo,2019-05-03,Kolkata,Banglore,17:15:00,19:50:00,155,0,No Info,4804
Jet Airways,2019-06-06,Delhi,Cochin,20:55:00,04:25:00,450,1,In-flight meal not included,10262
Air India,2019-03-21,Delhi,Cochin,18:30:00,19:15:00,1485,2,No Info,10703
Multiple Carriers,2019-06-12,Delhi,Cochin,10:00:00,01:30:00,930,1,No Info,7198
Vistara,2019-03-09,Banglore,New Delhi,21:10:00,00:05:00,175,0,No Info,7240
Air India,2019-03-06,Delhi,Cochin,05:55:00,07:40:00,1545,2,No Info,15428
Jet Airways,2019-04-09,Banglore,Delhi,11:10:00,14:05:00,175,0,In-flight meal not included,4544
Indigo,2019-05-09,Mumbai,Hyderabad,16:55:00,18:25:00,90,0,No Info,4784
Air India,2019-05-15,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,11281
Jet Airways,2019-05-09,Delhi,Cochin,02:15:00,12:35:00,620,1,In-flight meal not included,12373
Spicejet,2019-05-21,Banglore,Delhi,09:30:00,12:20:00,170,0,No Info,3625
Indigo,2019-03-01,Banglore,New Delhi,16:55:00,19:45:00,170,0,No Info,12649
Spicejet,2019-06-24,Delhi,Cochin,08:45:00,13:15:00,270,1,No Info,4812
Jet Airways,2019-03-21,Banglore,New Delhi,18:40:00,11:25:00,1005,1,In-flight meal not included,7832
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,09:30:00,1310,1,No Info,25735
Spicejet,2019-06-01,Chennai,Kolkata,09:45:00,12:00:00,135,0,No check-in baggage included,3543
Jet Airways,2019-03-21,Delhi,Cochin,11:30:00,04:25:00,1015,1,In-flight meal not included,7438
Air India,2019-06-12,Delhi,Cochin,14:10:00,17:10:00,180,0,No Info,5201
Air India,2019-05-06,Kolkata,Banglore,20:30:00,20:25:00,1435,1,No Info,10203
Jet Airways,2019-05-24,Kolkata,Banglore,20:25:00,18:00:00,1295,1,No Info,14151
Air India,2019-03-01,Banglore,New Delhi,11:50:00,23:55:00,725,1,Change airports,26092
Goair,2019-05-09,Kolkata,Banglore,23:30:00,07:45:00,495,1,No Info,6095
Air India,2019-03-06,Banglore,New Delhi,08:15:00,11:20:00,1625,2,No Info,13942
Jet Airways,2019-04-09,Delhi,Cochin,20:55:00,12:35:00,940,1,No Info,11822
Air India,2019-03-03,Banglore,New Delhi,10:30:00,22:55:00,745,1,No Info,11003
Jet Airways,2019-05-12,Kolkata,Banglore,16:30:00,23:35:00,425,1,In-flight meal not included,10844
Indigo,2019-05-15,Kolkata,Banglore,04:40:00,07:15:00,155,0,No Info,4804
Indigo,2019-06-24,Delhi,Cochin,11:25:00,01:30:00,845,1,No Info,5684
Jet Airways,2019-06-24,Banglore,Delhi,18:55:00,22:00:00,185,0,No Info,8016
Jet Airways,2019-06-27,Delhi,Cochin,19:45:00,12:35:00,1010,1,In-flight meal not included,10262
Vistara,2019-04-27,Banglore,Delhi,07:00:00,09:40:00,160,0,No Info,5613
Indigo,2019-03-03,Mumbai,Hyderabad,20:05:00,21:35:00,90,0,No Info,5232
Air India,2019-06-09,Delhi,Cochin,09:45:00,09:25:00,1420,2,No Info,11185
Vistara,2019-04-27,Banglore,Delhi,11:30:00,14:20:00,170,0,No Info,5403
Jet Airways,2019-06-12,Kolkata,Banglore,10:20:00,17:35:00,435,1,In-flight meal not included,5608
Indigo,2019-05-09,Chennai,Kolkata,11:35:00,14:00:00,145,0,No Info,4332
Jet Airways,2019-05-27,Banglore,Delhi,19:50:00,22:50:00,180,0,No Info,7229
Air India,2019-04-27,Banglore,Delhi,21:05:00,23:55:00,170,0,No Info,5228
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,23:35:00,425,1,In-flight meal not included,8586
Air India,2019-06-01,Kolkata,Banglore,14:15:00,16:45:00,150,0,No Info,6245
Air India,2019-04-03,Kolkata,Banglore,09:10:00,04:40:00,1170,2,No Info,4647
Multiple Carriers,2019-05-15,Delhi,Cochin,12:50:00,19:15:00,385,1,No Info,8266
Air India,2019-03-21,Delhi,Cochin,13:30:00,23:00:00,570,1,No Info,5704
Multiple Carriers,2019-05-27,Delhi,Cochin,08:45:00,21:00:00,735,1,No Info,7740
Jet Airways,2019-03-01,Banglore,New Delhi,07:00:00,18:25:00,685,1,No Info,26890
Multiple Carriers,2019-06-24,Delhi,Cochin,14:55:00,22:30:00,455,1,In-flight meal not included,6093
Vistara,2019-06-12,Banglore,Delhi,09:45:00,12:35:00,170,0,No Info,4668
Spicejet,2019-03-06,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,7298
Indigo,2019-04-18,Kolkata,Banglore,14:25:00,16:55:00,150,0,No Info,5224
Jet Airways,2019-06-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,In-flight meal not included,3210
Indigo,2019-03-18,Kolkata,Banglore,22:10:00,00:55:00,165,0,No Info,4148
Multiple Carriers,2019-03-21,Delhi,Cochin,09:00:00,15:30:00,390,1,No Info,8307
Spicejet,2019-06-24,Chennai,Kolkata,08:20:00,10:35:00,135,0,No check-in baggage included,3543
Indigo,2019-06-18,Banglore,Delhi,10:10:00,13:00:00,170,0,No Info,3943
Air India,2019-04-01,Kolkata,Banglore,16:45:00,23:15:00,1830,2,No Info,9237
Jet Airways,2019-05-27,Delhi,Cochin,23:05:00,04:25:00,1760,2,No Info,15129
Air Asia,2019-06-01,Delhi,Cochin,20:45:00,07:10:00,625,1,No Info,11410
Indigo,2019-06-06,Chennai,Kolkata,19:35:00,21:55:00,140,0,No Info,3597
Multiple Carriers,2019-06-24,Delhi,Cochin,19:00:00,01:30:00,390,1,No Info,7198
Jet Airways,2019-04-09,Banglore,Delhi,08:20:00,11:20:00,180,0,In-flight meal not included,4544
Multiple Carriers,2019-03-21,Delhi,Cochin,06:40:00,18:50:00,730,1,No Info,13568
Jet Airways,2019-03-15,Banglore,New Delhi,11:40:00,18:25:00,405,1,In-flight meal not included,9134
Air India,2019-03-09,Delhi,Cochin,05:00:00,19:15:00,2295,2,No Info,10598
Jet Airways,2019-05-27,Delhi,Cochin,13:00:00,19:00:00,360,1,No Info,16079
Air Asia,2019-06-09,Banglore,Delhi,23:55:00,02:45:00,170,0,No Info,7120
Jet Airways,2019-03-15,Banglore,New Delhi,16:55:00,00:45:00,470,1,No Info,21934
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,16:20:00,590,1,No Info,13339
Spicejet,2019-03-21,Chennai,Kolkata,09:30:00,12:05:00,155,0,No check-in baggage included,3332
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,18:50:00,1350,1,No Info,9555
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,19:00:00,1325,1,No Info,15554
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,04:25:00,1375,2,In-flight meal not included,13029
Multiple Carriers,2019-06-03,Delhi,Cochin,12:50:00,21:00:00,490,1,No Info,7740
Air India,2019-05-09,Delhi,Cochin,06:05:00,09:25:00,1640,1,No Info,7480
Spicejet,2019-03-18,Mumbai,Hyderabad,13:10:00,14:30:00,80,0,No Info,2437
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,21:20:00,935,1,No Info,16736
Air India,2019-05-09,Delhi,Cochin,14:25:00,19:15:00,1730,2,No Info,13591
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,07:40:00,1200,1,No Info,16736
Multiple Carriers,2019-06-24,Delhi,Cochin,09:00:00,19:00:00,600,1,No Info,12927
Jet Airways,2019-05-21,Delhi,Cochin,16:00:00,12:35:00,1235,1,In-flight meal not included,12898
Spicejet,2019-06-01,Banglore,Delhi,09:30:00,12:20:00,170,0,No Info,3971
Indigo,2019-06-21,Banglore,Delhi,21:15:00,00:15:00,180,0,No Info,3943
Indigo,2019-05-06,Kolkata,Banglore,07:10:00,12:40:00,330,1,No Info,4864
Jet Airways,2019-04-06,Delhi,Cochin,11:00:00,14:15:00,195,0,In-flight meal not included,4886
Spicejet,2019-05-12,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No Info,2227
Indigo,2019-06-15,Delhi,Cochin,07:35:00,16:10:00,515,1,No Info,6442
Indigo,2019-06-27,Banglore,Delhi,13:00:00,15:50:00,170,0,No Info,3943
Goair,2019-03-24,Banglore,New Delhi,11:40:00,14:35:00,175,0,No Info,4340
Indigo,2019-05-01,Banglore,Delhi,18:55:00,21:50:00,175,0,No Info,4823
Multiple Carriers,2019-03-01,Delhi,Cochin,00:20:00,13:20:00,780,1,No Info,29528
Air India,2019-03-01,Banglore,New Delhi,17:00:00,22:55:00,1795,2,No Info,14887
Air Asia,2019-06-06,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,4483
Indigo,2019-05-15,Kolkata,Banglore,20:20:00,22:55:00,155,0,No Info,4804
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,14:25:00,1080,1,No Info,13067
Vistara,2019-03-03,Banglore,New Delhi,21:10:00,00:05:00,175,0,No Info,7608
Indigo,2019-03-24,Chennai,Kolkata,19:35:00,21:55:00,140,0,No Info,7295
Vistara,2019-04-01,Banglore,Delhi,11:30:00,14:20:00,170,0,No Info,5403
Jet Airways,2019-06-12,Banglore,Delhi,18:55:00,22:00:00,185,0,No Info,8016
Jet Airways,2019-05-03,Banglore,Delhi,19:50:00,22:50:00,180,0,No Info,7229
Indigo,2019-04-12,Banglore,Delhi,08:30:00,11:20:00,170,0,No Info,4823
Air India,2019-03-12,Banglore,New Delhi,11:50:00,08:55:00,1265,1,No Info,11707
Air India,2019-05-24,Mumbai,Hyderabad,15:00:00,16:25:00,85,0,No Info,3100
Multiple Carriers,2019-06-15,Delhi,Cochin,17:50:00,01:30:00,460,2,No Info,18485
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,19:50:00,345,1,No Info,14781
Air Asia,2019-05-15,Delhi,Cochin,20:45:00,07:10:00,625,1,No Info,6853
Jet Airways,2019-04-27,Banglore,Delhi,19:50:00,22:50:00,180,0,No Info,7229
Jet Airways,2019-06-03,Delhi,Cochin,11:00:00,14:15:00,195,0,In-flight meal not included,7202
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,16:20:00,635,1,No Info,14781
Indigo,2019-04-27,Banglore,Delhi,13:00:00,15:50:00,170,0,No Info,4423
Indigo,2019-06-15,Delhi,Cochin,09:15:00,21:00:00,705,1,No Info,6838
Air India,2019-04-01,Kolkata,Banglore,12:00:00,21:50:00,590,2,No Info,9258
Jet Airways,2019-06-03,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,8016
Air India,2019-06-24,Delhi,Cochin,18:45:00,19:15:00,1470,2,No Info,11732
Jet Airways,2019-05-27,Delhi,Cochin,08:00:00,19:00:00,660,1,In-flight meal not included,12239
Multiple Carriers,2019-06-12,Delhi,Cochin,14:00:00,01:30:00,690,1,No Info,13377
Multiple Carriers,2019-06-03,Delhi,Cochin,14:55:00,22:30:00,455,1,No Info,7038
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,04:25:00,900,2,No Info,16704
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,12:35:00,810,2,No Info,12819
Air India,2019-05-21,Kolkata,Banglore,09:25:00,21:50:00,745,1,No Info,8366
Goair,2019-05-21,Delhi,Cochin,07:25:00,13:20:00,355,1,No Info,5842
Air India,2019-05-15,Kolkata,Banglore,19:00:00,04:40:00,580,1,No Info,6117
Air Asia,2019-04-15,Kolkata,Banglore,07:35:00,23:30:00,955,1,No Info,5192
Air India,2019-03-12,Banglore,New Delhi,06:50:00,11:20:00,1710,2,No Info,12734
Air India,2019-06-06,Delhi,Cochin,16:40:00,19:15:00,1595,2,No Info,9653
Goair,2019-06-27,Banglore,Delhi,11:40:00,14:30:00,170,0,No Info,3898
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,04:40:00,585,1,No Info,12576
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,15:15:00,570,1,No Info,26890
Spicejet,2019-06-06,Kolkata,Banglore,17:10:00,19:40:00,150,0,No check-in baggage included,3841
Air India,2019-06-18,Mumbai,Hyderabad,15:00:00,16:25:00,85,0,No Info,3100
Spicejet,2019-03-18,Kolkata,Banglore,22:20:00,00:40:00,140,0,No Info,3847
Air India,2019-05-21,Delhi,Cochin,08:00:00,19:15:00,675,1,No Info,8372
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,04:40:00,585,1,In-flight meal not included,9663
Indigo,2019-04-09,Kolkata,Banglore,04:40:00,07:15:00,155,0,No Info,4174
Jet Airways,2019-05-09,Kolkata,Banglore,21:10:00,09:20:00,730,1,In-flight meal not included,9663
Jet Airways,2019-06-01,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,No Info,5678
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,20:45:00,1485,1,No Info,14388
Indigo,2019-03-18,Kolkata,Banglore,15:10:00,17:45:00,155,0,No Info,4462
Indigo,2019-05-03,Banglore,Delhi,18:25:00,21:20:00,175,0,No Info,4823
Multiple Carriers,2019-03-03,Delhi,Cochin,07:00:00,15:30:00,510,1,No Info,15603
Spicejet,2019-03-12,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,6300
Air India,2019-03-15,Banglore,New Delhi,10:30:00,11:20:00,1490,1,No Info,7013
Multiple Carriers,2019-06-27,Delhi,Cochin,09:00:00,19:15:00,615,1,No Info,14848
