airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-03-03,Banglore,New Delhi,10:00:00,12:45:00,165,0,No Info,8588
Multiple Carriers,2019-05-15,Delhi,Cochin,10:20:00,19:15:00,535,1,No Info,8266
Jet Airways,2019-06-27,Delhi,Cochin,15:00:00,12:35:00,1295,1,In-flight meal not included,10262
Multiple Carriers,2019-03-27,Delhi,Cochin,10:00:00,21:00:00,660,1,No Info,6883
Air Asia,2019-03-27,Delhi,Cochin,07:55:00,13:10:00,315,1,No Info,6151
Air India,2019-05-24,Kolkata,Banglore,05:50:00,20:25:00,875,2,No Info,11201
Indigo,2019-04-18,Kolkata,Banglore,17:15:00,19:50:00,155,0,No Info,4174
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,18:10:00,700,1,In-flight meal not included,10031
Air India,2019-05-21,Kolkata,Banglore,19:00:00,11:05:00,965,1,No Info,6117
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,16:20:00,475,1,No Info,14781
Indigo,2019-03-06,Mumbai,Hyderabad,21:20:00,22:45:00,85,0,No Info,4784
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,08:15:00,735,1,No Info,14939
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,18:15:00,1545,1,In-flight meal not included,10844
Air Asia,2019-03-24,Banglore,New Delhi,23:25:00,02:10:00,165,0,No Info,4482
Air India,2019-06-27,Delhi,Cochin,05:15:00,07:40:00,1585,3,No Info,11543
Spicejet,2019-06-01,Delhi,Cochin,06:05:00,11:20:00,315,1,No Info,5583
Spicejet,2019-05-27,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,No check-in baggage included,1965
Jet Airways,2019-03-12,Banglore,New Delhi,05:45:00,08:15:00,1590,1,No Info,12547
Air India,2019-04-01,Kolkata,Banglore,12:00:00,18:30:00,1830,2,No Info,9258
Jet Airways,2019-05-09,Kolkata,Banglore,08:25:00,20:45:00,740,1,In-flight meal not included,10844
Spicejet,2019-05-21,Banglore,Delhi,21:10:00,00:05:00,175,0,No Info,3625
Indigo,2019-03-24,Banglore,New Delhi,01:30:00,04:15:00,165,0,No Info,4238
Spicejet,2019-03-03,Chennai,Kolkata,17:45:00,20:05:00,140,0,No Info,7298
Spicejet,2019-03-27,Chennai,Kolkata,17:45:00,20:05:00,140,0,No check-in baggage included,3332
Multiple Carriers,2019-06-24,Delhi,Cochin,11:40:00,19:15:00,455,1,In-flight meal not included,7268
Spicejet,2019-05-03,Kolkata,Banglore,09:00:00,11:25:00,145,0,No check-in baggage included,3841
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,22:35:00,1660,1,In-flight meal not included,7064
Air Asia,2019-03-12,Kolkata,Banglore,22:50:00,01:20:00,150,0,No Info,4082
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,16:20:00,1285,1,No Info,13044
Indigo,2019-03-01,Delhi,Cochin,04:55:00,21:20:00,985,2,No Info,10278
Spicejet,2019-06-21,Kolkata,Banglore,17:10:00,19:40:00,150,0,No Info,3873
Indigo,2019-03-21,Banglore,New Delhi,13:00:00,15:50:00,170,0,No Info,5694
Indigo,2019-05-06,Chennai,Kolkata,22:05:00,00:25:00,140,0,No Info,5277
Indigo,2019-05-18,Kolkata,Banglore,09:20:00,14:15:00,295,1,No Info,12198
Indigo,2019-06-03,Delhi,Cochin,05:05:00,16:10:00,665,1,No Info,6818
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,19:40:00,790,1,No Info,13339
Multiple Carriers,2019-05-27,Delhi,Cochin,07:30:00,19:00:00,690,1,No Info,9315
Air Asia,2019-05-27,Delhi,Cochin,07:55:00,15:45:00,470,1,No Info,6451
Air Asia,2019-05-27,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,3383
Spicejet,2019-05-15,Kolkata,Banglore,09:00:00,11:25:00,145,0,No check-in baggage included,3841
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,16:20:00,1430,1,In-flight meal not included,10844
Jet Airways,2019-06-06,Banglore,Delhi,08:20:00,11:20:00,180,0,In-flight meal not included,6478
Goair,2019-06-06,Banglore,Delhi,11:40:00,14:30:00,170,0,No Info,3898
Air India,2019-03-06,Banglore,New Delhi,06:45:00,12:15:00,330,1,No Info,13912
Spicejet,2019-03-15,Mumbai,Hyderabad,13:10:00,14:30:00,80,0,No check-in baggage included,2385
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,12:35:00,1615,2,No Info,13014
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,19:10:00,1365,1,No Info,14151
Spicejet,2019-04-01,Kolkata,Banglore,08:35:00,17:15:00,520,1,No Info,6013
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,20:45:00,400,1,No Info,13626
Multiple Carriers,2019-03-03,Delhi,Cochin,08:55:00,18:50:00,595,1,No Info,15411
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,10:25:00,280,1,No Info,19225
Multiple Carriers,2019-05-15,Delhi,Cochin,06:40:00,19:15:00,755,1,No Info,7787
Jet Airways,2019-06-15,Delhi,Cochin,10:00:00,19:00:00,540,1,No Info,14714
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,21:00:00,660,1,No Info,8073
Air India,2019-06-15,Chennai,Kolkata,11:40:00,13:55:00,135,0,No Info,4667
Multiple Carriers,2019-05-27,Delhi,Cochin,11:30:00,21:00:00,570,1,In-flight meal not included,6943
Indigo,2019-05-18,Banglore,Delhi,16:55:00,19:55:00,180,0,No Info,4823
Indigo,2019-05-15,Delhi,Cochin,16:10:00,22:30:00,380,1,No Info,6412
Multiple Carriers,2019-06-09,Delhi,Cochin,08:00:00,19:00:00,660,1,No Info,12192
Jet Airways,2019-05-09,Kolkata,Banglore,18:55:00,10:05:00,910,1,No Info,13941
Spicejet,2019-04-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No check-in baggage included,1965
Jet Airways,2019-03-21,Mumbai,Hyderabad,03:05:00,04:25:00,80,0,In-flight meal not included,2759
Air India,2019-06-27,Delhi,Cochin,10:55:00,19:15:00,500,2,No Info,11753
Air India,2019-06-15,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,No Info,3100
Indigo,2019-05-06,Kolkata,Banglore,15:30:00,18:05:00,155,0,No Info,4804
Indigo,2019-03-24,Banglore,New Delhi,06:00:00,08:45:00,165,0,No Info,4777
Indigo,2019-06-03,Delhi,Cochin,05:35:00,08:50:00,195,0,No Info,5601
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,18:00:00,1500,1,In-flight meal not included,9314
Jet Airways,2019-05-24,Banglore,Delhi,11:10:00,14:05:00,175,0,In-flight meal not included,4030
Indigo,2019-03-27,Chennai,Kolkata,19:35:00,21:55:00,140,0,No Info,3858
Jet Airways,2019-03-06,Delhi,Cochin,19:45:00,04:25:00,520,1,No Info,15764
Multiple Carriers,2019-06-01,Delhi,Cochin,18:15:00,01:30:00,435,1,No Info,13377
Indigo,2019-06-01,Banglore,Delhi,07:10:00,10:05:00,175,0,No Info,4823
Indigo,2019-03-15,Banglore,New Delhi,08:30:00,11:30:00,180,0,No Info,6860
Vistara,2019-05-06,Kolkata,Banglore,07:10:00,09:05:00,1555,1,No Info,8137
Vistara,2019-05-09,Banglore,Delhi,07:00:00,09:40:00,160,0,No Info,4668
Multiple Carriers,2019-06-01,Delhi,Cochin,08:45:00,19:15:00,630,1,No Info,10261
Jet Airways,2019-06-12,Delhi,Cochin,09:40:00,04:25:00,1125,2,No Info,13014
Jet Airways,2019-05-01,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,In-flight meal not included,3210
Air India,2019-05-21,Kolkata,Banglore,16:50:00,05:35:00,765,2,No Info,12324
Goair,2019-04-09,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,4239
Jet Airways,2019-06-15,Delhi,Cochin,02:15:00,04:25:00,1570,1,In-flight meal not included,10262
Jet Airways,2019-06-27,Banglore,Delhi,11:10:00,14:05:00,175,0,No Info,8016
Vistara,2019-03-21,Delhi,Cochin,14:55:00,17:50:00,175,0,No Info,5586
Jet Airways,2019-06-09,Kolkata,Banglore,20:00:00,18:15:00,1335,1,No Info,14571
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,08:15:00,1545,1,In-flight meal not included,8586
Jet Airways,2019-05-06,Banglore,Delhi,06:00:00,08:45:00,165,0,No Info,7229
Jet Airways,2019-05-21,Delhi,Cochin,20:55:00,04:25:00,450,1,In-flight meal not included,12898
Indigo,2019-03-21,Delhi,Cochin,02:05:00,07:25:00,320,1,No Info,4862
Jet Airways,2019-06-06,Delhi,Cochin,07:05:00,19:00:00,715,1,In-flight meal not included,10262
Air India,2019-03-18,Banglore,New Delhi,08:50:00,16:30:00,1900,2,No Info,10835
Air India,2019-05-21,Kolkata,Banglore,08:20:00,20:25:00,725,2,No Info,12324
Vistara,2019-05-24,Kolkata,Banglore,07:10:00,09:05:00,1555,1,No Info,9502
Spicejet,2019-05-18,Banglore,Delhi,05:55:00,08:35:00,160,0,No check-in baggage included,3573
Vistara,2019-04-18,Banglore,Delhi,09:45:00,12:35:00,170,0,No Info,5403
Jet Airways,2019-06-21,Banglore,Delhi,15:15:00,18:10:00,175,0,In-flight meal not included,7229
Vistara,2019-06-24,Chennai,Kolkata,07:45:00,10:00:00,135,0,No Info,3687
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,04:40:00,875,1,No Info,13941
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,04:25:00,1760,2,No Info,16704
Spicejet,2019-06-15,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No check-in baggage included,2647
Vistara,2019-06-12,Kolkata,Banglore,20:20:00,09:05:00,765,1,No Info,7927
Spicejet,2019-05-06,Mumbai,Hyderabad,05:45:00,07:15:00,90,0,No check-in baggage included,1965
Spicejet,2019-03-24,Chennai,Kolkata,09:30:00,12:05:00,155,0,No Info,3859
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,20:45:00,1550,1,No Info,14571
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,19:10:00,1455,1,In-flight meal not included,11087
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,16:20:00,475,1,In-flight meal not included,9899
Jet Airways,2019-05-09,Delhi,Cochin,05:30:00,12:35:00,425,2,In-flight meal not included,15544
Multiple Carriers,2019-03-27,Delhi,Cochin,04:45:00,19:15:00,870,1,No Info,7574
Goair,2019-06-06,Kolkata,Banglore,23:30:00,07:45:00,495,1,No Info,6686
Air India,2019-03-21,Delhi,Cochin,21:00:00,07:40:00,640,1,No Info,6902
Indigo,2019-03-06,Kolkata,Banglore,21:25:00,00:05:00,160,0,No Info,4778
Jet Airways,2019-03-21,Delhi,Cochin,05:25:00,18:50:00,2245,2,No Info,12814
Jet Airways,2019-04-01,Delhi,Cochin,18:15:00,19:00:00,1485,1,In-flight meal not included,5406
Jet Airways,2019-06-06,Delhi,Cochin,14:00:00,04:25:00,865,1,In-flight meal not included,10262
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,12:35:00,1235,1,In-flight meal not included,10262
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,19:10:00,575,1,No Info,13067
Jet Airways,2019-05-27,Delhi,Cochin,10:00:00,04:25:00,1105,1,In-flight meal not included,12898
Jet Airways,2019-05-21,Banglore,Delhi,07:10:00,10:10:00,180,0,In-flight meal not included,4030
Multiple Carriers,2019-06-15,Delhi,Cochin,10:35:00,19:15:00,520,1,No Info,8614
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,18:15:00,705,1,No Info,14781
Jet Airways,2019-03-24,Kolkata,Banglore,16:55:00,09:15:00,980,1,In-flight meal not included,11134
Spicejet,2019-04-01,Banglore,Delhi,09:30:00,12:20:00,170,0,No Info,3971
Air Asia,2019-06-12,Delhi,Cochin,07:55:00,15:45:00,470,1,No Info,6152
Goair,2019-03-03,Banglore,New Delhi,20:55:00,23:50:00,175,0,No Info,7222
Multiple Carriers,2019-05-27,Delhi,Cochin,18:15:00,01:30:00,435,1,No Info,13377
Jet Airways,2019-05-06,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,In-flight meal not included,2228
Air India,2019-06-09,Kolkata,Banglore,09:25:00,05:35:00,1210,2,No Info,11432
Jet Airways,2019-06-15,Delhi,Cochin,11:00:00,14:15:00,195,0,No Info,9564
Air Asia,2019-06-21,Kolkata,Banglore,22:50:00,01:20:00,150,0,No Info,3807
Jet Airways,2019-06-03,Delhi,Cochin,19:45:00,19:00:00,1395,1,In-flight meal not included,10262
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,20:45:00,400,1,In-flight meal not included,9899
Vistara,2019-03-06,Mumbai,Hyderabad,20:55:00,16:45:00,1190,1,No Info,12395
Jet Airways,2019-06-06,Delhi,Cochin,18:15:00,19:00:00,1485,1,In-flight meal not included,10262
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,14:25:00,1285,1,No Info,11467
Air India,2019-04-03,Banglore,Delhi,17:00:00,19:45:00,165,0,No Info,5176
Indigo,2019-06-09,Mumbai,Hyderabad,19:05:00,20:35:00,90,0,No Info,2754
Indigo,2019-06-18,Chennai,Kolkata,05:15:00,07:40:00,145,0,No Info,3540
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,12:35:00,425,2,No Info,14441
Spicejet,2019-05-03,Chennai,Kolkata,17:45:00,20:05:00,140,0,No check-in baggage included,3543
Air India,2019-05-15,Kolkata,Banglore,20:30:00,13:45:00,1035,2,No Info,16057
Indigo,2019-05-01,Mumbai,Hyderabad,09:10:00,10:40:00,90,0,No Info,4575
Spicejet,2019-06-06,Banglore,Delhi,09:30:00,12:20:00,170,0,No check-in baggage included,3919
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,18:15:00,1400,1,In-flight meal not included,10844
Air India,2019-06-15,Delhi,Cochin,20:00:00,19:15:00,1395,2,No Info,11071
Jet Airways,2019-03-01,Banglore,New Delhi,08:00:00,05:05:00,1265,1,No Info,22270
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,14:25:00,1080,1,No Info,13067
Indigo,2019-06-12,Mumbai,Hyderabad,09:10:00,10:40:00,90,0,No Info,4049
Air India,2019-06-06,Kolkata,Banglore,16:50:00,05:35:00,765,2,No Info,11432
Jet Airways,2019-06-18,Mumbai,Hyderabad,08:45:00,10:15:00,90,0,No Info,8040
Air India,2019-03-09,Banglore,New Delhi,17:00:00,19:50:00,170,0,No Info,9481
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,18:15:00,1335,1,In-flight meal not included,10844
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,18:15:00,750,1,No Info,14781
Air India,2019-03-24,Kolkata,Banglore,09:25:00,01:20:00,955,2,No Info,11853
Air India,2019-06-12,Delhi,Cochin,12:20:00,19:15:00,1855,2,No Info,12488
Jet Airways,2019-05-06,Banglore,Delhi,15:15:00,18:10:00,175,0,No Info,7229
Air India,2019-06-21,Delhi,Cochin,05:10:00,08:00:00,170,0,No Info,5201
Indigo,2019-05-09,Kolkata,Banglore,11:30:00,14:05:00,155,0,No Info,5224
Jet Airways,2019-06-27,Delhi,Cochin,18:15:00,19:00:00,1485,1,In-flight meal not included,10262
Air India,2019-06-06,Delhi,Cochin,08:00:00,19:15:00,675,1,No Info,8372
Goair,2019-03-09,Delhi,Cochin,06:00:00,13:20:00,440,1,No Info,8422
Jet Airways,2019-03-06,Banglore,New Delhi,11:40:00,23:00:00,680,1,No Info,16736
Jet Airways,2019-03-09,Delhi,Cochin,06:50:00,19:45:00,775,1,No Info,16289
Indigo,2019-06-09,Kolkata,Banglore,21:00:00,02:15:00,315,1,No Info,6911
Vistara,2019-05-15,Kolkata,Banglore,17:00:00,18:50:00,1550,1,No Info,9345
Air India,2019-06-01,Delhi,Cochin,16:40:00,19:15:00,1595,2,No Info,9863
Multiple Carriers,2019-06-12,Delhi,Cochin,07:00:00,21:00:00,840,1,No Info,7408
Indigo,2019-05-09,Delhi,Cochin,05:35:00,08:50:00,195,0,No Info,5000
Jet Airways,2019-04-21,Banglore,Delhi,17:45:00,20:45:00,180,0,In-flight meal not included,4544
Indigo,2019-05-06,Kolkata,Banglore,08:10:00,13:00:00,290,1,No Info,5069
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,18:00:00,1500,1,No Info,14151
Indigo,2019-06-15,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Jet Airways,2019-06-15,Delhi,Cochin,20:55:00,19:00:00,1325,1,In-flight meal not included,10262
Spicejet,2019-05-21,Delhi,Cochin,06:05:00,11:20:00,315,1,No Info,6297
Jet Airways,2019-05-27,Delhi,Cochin,02:15:00,19:00:00,1005,1,No Info,16079
Air India,2019-06-06,Kolkata,Banglore,16:50:00,07:55:00,905,1,No Info,8366
Jet Airways,2019-03-24,Kolkata,Banglore,06:30:00,16:20:00,590,1,In-flight meal not included,8824
Multiple Carriers,2019-03-21,Delhi,Cochin,11:30:00,01:35:00,845,1,No Info,13542
Vistara,2019-04-15,Delhi,Cochin,06:00:00,09:10:00,190,0,No Info,6216
Indigo,2019-06-01,Kolkata,Banglore,04:40:00,07:15:00,155,0,No Info,4804
Indigo,2019-03-24,Banglore,New Delhi,16:55:00,19:45:00,170,0,No Info,7303
Jet Airways,2019-05-24,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,In-flight meal not included,4995
Vistara,2019-03-01,Banglore,New Delhi,06:40:00,10:25:00,1665,1,No Info,12371
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,10:05:00,775,1,No Info,14914
Indigo,2019-03-27,Delhi,Cochin,20:30:00,01:35:00,305,1,No Info,5073
Indigo,2019-05-01,Kolkata,Banglore,08:10:00,13:00:00,290,1,No Info,5069
Indigo,2019-06-24,Delhi,Cochin,15:10:00,20:00:00,290,1,No Info,6147
Jet Airways,2019-05-24,Kolkata,Banglore,21:10:00,04:40:00,450,1,No Info,14178
Indigo,2019-03-06,Delhi,Cochin,04:45:00,21:00:00,975,1,No Info,13611
Air India,2019-05-01,Kolkata,Banglore,10:00:00,23:15:00,795,1,No Info,10203
Air India,2019-03-21,Delhi,Cochin,08:00:00,19:15:00,675,1,No Info,7199
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,10:05:00,845,1,In-flight meal not included,8586
Jet Airways,2019-05-09,Kolkata,Banglore,10:20:00,17:35:00,435,1,No Info,8355
Jet Airways,2019-06-09,Delhi,Cochin,09:25:00,12:35:00,1630,2,No Info,13882
Multiple Carriers,2019-05-27,Delhi,Cochin,09:00:00,19:15:00,615,1,No Info,15898
Air India,2019-03-27,Delhi,Cochin,07:05:00,09:25:00,1580,2,No Info,6565
Vistara,2019-05-24,Kolkata,Banglore,07:10:00,18:50:00,700,1,No Info,9555
Multiple Carriers,2019-06-06,Delhi,Cochin,19:00:00,01:30:00,390,1,No Info,7530
Indigo,2019-05-06,Kolkata,Banglore,21:25:00,00:05:00,160,0,No Info,4804
Multiple Carriers,2019-03-21,Delhi,Cochin,09:10:00,18:50:00,580,1,No Info,13069
